,price,area,rooms,ebk,garten,balkon,inkl_NK,category,GEN
202,950.0,96.0,4.0,True,False,True,False,Apartment,Pinneberg
203,595.0,70.0,2.0,True,False,False,False,Etagenwohnung,Stormarn
204,790.0,71.0,2.5,True,False,True,False,Wohnung,Steinburg
205,537.14,42.0,1.0,True,False,False,False,Wohnung,Stormarn
206,800.0,65.0,2.0,True,False,True,False,Wohnung,Lübeck
207,1300.0,83.0,3.0,True,False,False,False,Wohnung,Stormarn
208,400.0,51.0,2.5,True,False,False,False,Etagenwohnung,Kiel
209,490.0,53.0,2.5,False,False,False,False,Etagenwohnung,Herzogtum Lauenburg
210,419.0,66.0,3.0,True,False,True,False,Wohnung,Rendsburg-Eckernförde
211,421.2,69.0,3.0,False,False,False,False,Etagenwohnung,Schleswig-Flensburg
212,975.0,75.0,2.0,True,True,True,False,Apartment,Stormarn
213,510.0,53.0,2.0,True,False,True,False,Wohnung,Pinneberg
214,450.0,38.0,1.0,True,False,True,False,Etagenwohnung,Segeberg
215,645.0,78.0,3.0,True,True,False,False,Erdgeschosswohnung,Plön
216,534.0,75.0,3.0,True,False,True,False,Etagenwohnung,Herzogtum Lauenburg
217,500.0,65.0,2.5,True,False,True,False,Wohnung,Segeberg
218,418.32,75.0,3.0,False,True,False,False,Wohnung,Plön
219,378.0,43.0,2.0,True,False,True,False,Dachgeschosswohnung,Rendsburg-Eckernförde
220,490.0,71.0,2.0,False,False,False,False,Wohnung,Flensburg
221,760.0,85.0,3.5,True,True,True,False,Etagenwohnung,Flensburg
222,620.0,75.0,3.5,True,False,False,False,Etagenwohnung,Pinneberg
223,550.0,61.0,3.0,True,False,True,False,Etagenwohnung,Lübeck
224,895.0,81.0,3.0,True,True,False,False,Erdgeschosswohnung,Lübeck
225,300.0,39.0,1.5,True,False,False,False,Wohnung,Flensburg
226,975.0,72.0,3.0,True,False,True,False,Etagenwohnung,Segeberg
227,665.0,78.0,3.0,True,False,True,False,Etagenwohnung,Segeberg
228,750.0,58.0,2.5,True,False,True,False,Etagenwohnung,Kiel
229,359.0,49.0,2.0,False,False,True,False,Wohnung,Rendsburg-Eckernförde
230,405.29,65.0,2.0,True,False,True,False,Etagenwohnung,Schleswig-Flensburg
231,470.0,84.0,3.0,False,False,True,False,Etagenwohnung,Schleswig-Flensburg
232,330.0,33.0,1.0,True,False,False,False,Etagenwohnung,Lübeck
233,340.0,30.0,1.0,True,False,False,False,Etagenwohnung,Pinneberg
234,510.0,50.0,2.5,False,False,False,False,Wohnung,Flensburg
235,1040.0,80.0,3.0,True,False,True,False,Etagenwohnung,Kiel
236,420.0,25.0,1.0,False,False,False,False,Erdgeschosswohnung,Dithmarschen
237,650.0,45.0,2.0,False,False,False,False,Dachgeschosswohnung,Dithmarschen
238,615.0,62.0,2.0,True,False,True,False,Erdgeschosswohnung,Segeberg
239,406.0,38.0,1.0,True,False,True,False,Wohnung,Pinneberg
240,525.0,71.0,2.5,True,False,False,False,Wohnung,Herzogtum Lauenburg
241,710.0,74.0,2.0,True,False,True,False,Etagenwohnung,Segeberg
242,509.0,56.0,2.0,False,False,True,False,Etagenwohnung,Pinneberg
243,711.0,79.0,2.0,True,False,False,False,Etagenwohnung,Stormarn
244,700.0,76.0,3.0,True,False,True,False,Wohnung,Flensburg
245,380.0,53.0,2.5,True,False,False,False,Wohnung,Nordfriesland
246,790.0,85.0,2.5,True,False,True,False,Wohnung,Plön
247,510.0,60.0,2.0,False,False,False,False,Etagenwohnung,Flensburg
248,650.0,82.0,3.0,True,False,True,False,Etagenwohnung,Plön
249,780.0,65.0,2.0,False,False,True,False,Dachgeschosswohnung,Schleswig-Flensburg
250,630.0,67.0,3.0,False,False,False,False,Wohnung,Flensburg
251,365.0,39.0,1.0,True,False,True,False,Etagenwohnung,Segeberg
252,880.0,93.0,3.0,True,False,True,False,Etagenwohnung,Pinneberg
253,590.0,60.0,2.5,False,False,True,False,Etagenwohnung,Herzogtum Lauenburg
254,475.0,56.0,2.0,False,False,True,False,Etagenwohnung,Herzogtum Lauenburg
255,344.01,64.0,3.0,False,False,True,False,Erdgeschosswohnung,Schleswig-Flensburg
256,600.0,94.0,4.0,True,False,False,False,Wohnung,Flensburg
257,405.0,45.0,2.0,True,False,True,False,Dachgeschosswohnung,Segeberg
258,840.0,64.0,2.0,True,False,True,False,Wohnung,Herzogtum Lauenburg
259,745.0,88.0,2.5,False,False,False,False,Etagenwohnung,Pinneberg
260,850.0,79.0,3.0,True,False,True,False,Etagenwohnung,Stormarn
261,580.0,57.0,2.0,False,False,True,False,Etagenwohnung,Stormarn
262,690.0,66.0,3.0,True,False,False,False,Erdgeschosswohnung,Plön
263,946.0,86.0,3.0,True,False,True,False,Wohnung,Stormarn
264,645.0,81.0,3.0,True,False,False,False,Etagenwohnung,Steinburg
265,545.0,68.0,3.0,True,False,False,False,Etagenwohnung,Steinburg
266,500.0,53.0,2.0,True,False,False,False,Erdgeschosswohnung,Steinburg
267,500.0,59.0,2.5,True,False,True,False,Etagenwohnung,Kiel
268,950.0,74.0,2.0,False,False,False,False,Dachgeschosswohnung,Pinneberg
269,696.96,75.0,3.0,True,False,False,False,Dachgeschosswohnung,Stormarn
270,1320.0,110.0,3.0,True,True,False,False,Wohnung,Segeberg
271,1145.0,83.0,3.0,True,False,False,False,Erdgeschosswohnung,Segeberg
272,750.0,86.0,3.5,True,False,True,False,Etagenwohnung,Segeberg
273,390.0,20.0,1.0,False,False,False,False,Etagenwohnung,Rendsburg-Eckernförde
274,324.0,19.0,1.0,False,False,False,False,Wohnung,Flensburg
275,600.0,86.0,3.0,True,False,True,False,Etagenwohnung,Segeberg
276,1260.0,105.0,4.0,True,False,True,False,Wohnung,Lübeck
277,750.0,81.0,3.0,True,True,False,False,Wohnung,Ostholstein
278,1540.0,128.0,3.0,True,False,True,False,Maisonette,Ostholstein
279,370.0,55.0,2.0,True,False,False,False,Wohnung,Flensburg
280,406.0,48.0,2.0,True,False,False,False,Etagenwohnung,Neumünster
281,640.0,71.0,3.0,False,False,False,False,Wohnung,Flensburg
282,335.0,39.0,2.0,True,False,False,False,Etagenwohnung,Herzogtum Lauenburg
283,899.0,80.0,3.0,True,False,True,False,Etagenwohnung,Stormarn
284,1218.79,94.0,3.0,True,False,True,False,Etagenwohnung,Segeberg
285,675.0,70.0,3.0,True,False,False,False,Dachgeschosswohnung,Pinneberg
286,539.0,65.0,2.0,True,False,False,False,Etagenwohnung,Segeberg
287,955.0,87.0,3.0,True,False,True,False,Etagenwohnung,Segeberg
288,660.0,60.0,2.0,True,True,True,False,Etagenwohnung,Pinneberg
289,490.0,64.0,2.5,False,False,False,False,Wohnung,Flensburg
290,810.0,79.0,3.0,True,False,True,False,Etagenwohnung,Segeberg
291,1025.0,93.0,4.0,True,False,True,False,Etagenwohnung,Segeberg
292,1250.0,105.0,3.0,True,False,True,False,Dachgeschosswohnung,Neumünster
293,750.0,75.0,2.0,True,False,False,False,Etagenwohnung,Stormarn
294,1200.0,100.0,4.0,False,False,True,False,Etagenwohnung,Herzogtum Lauenburg
295,870.0,62.0,2.0,True,False,True,False,Etagenwohnung,Stormarn
296,1060.0,75.0,3.0,True,False,True,False,Etagenwohnung,Stormarn
297,620.0,59.0,2.0,True,True,False,False,Erdgeschosswohnung,Stormarn
298,865.0,84.0,3.0,True,False,True,False,Etagenwohnung,Segeberg
299,470.0,81.0,3.0,True,False,True,False,Etagenwohnung,Schleswig-Flensburg
300,580.0,60.0,2.0,True,True,False,False,Wohnung,Herzogtum Lauenburg
301,475.0,43.0,2.0,True,True,False,False,Wohnung,Pinneberg
